,,Measured Depth,TVD,Mud Weight,Mud Weight,
,M/dd/yyyy,m,m,lbm/galUS,lbm/galUS,
1,6/16/2017,85,85,,,
1,6/17/2017,176,175.97,8.76,,Water Based Mud
1,6/18/2017,290,289.81,9.1,,Water Based Mud
1,6/19/2017,677,674.02,9.6,,Water Based Mud
1,6/20/2017,988,980.94,9.51,9.93,Water Based Mud
1,6/21/2017,1200,1191.16,9.6,,Water Based Mud
1,6/22/2017,1200,1191.16,9.6,,Water Based Mud
1,6/23/2017,1200,1191.16,9.6,,Water Based Mud
1,6/24/2017,1200,1191.16,9.6,,Water Based Mud
1,6/25/2017,1200,1191.16,10.6,,Synthetic Mud
1,6/26/2017,1223,1214.01,10.52,,Synthetic Mud
1,6/27/2017,1717,1697.7,10.6,,Synthetic Mud
1,6/28/2017,1774,1753.78,10.52,,Synthetic Mud
1,6/29/2017,1805,1784.09,10.6,,Synthetic Mud
1,6/30/2017,2121,2095.22,10.77,,Synthetic Mud
1,07-01-17,2379,2349.52,11.02,,Synthetic Mud
1,07-02-17,2602,2569.09,11.02,,Synthetic Mud
1,07-03-17,2720,2685.64,11.02,,Synthetic Mud
1,07-04-17,2720,2685.64,11.02,,Synthetic Mud
1,07-05-17,2720,2685.64,11.02,,Synthetic Mud
1,07-06-17,2720,2685.64,11.27,,Synthetic Mud
1,07-07-17,2720,2685.64,11.18,,Synthetic Mud
1,07-08-17,2750,2715.1,12.18,,Synthetic Mud
1,07-09-17,2750,2715.1,12.1,,Synthetic Mud
1,07-10-17,2750,2715.1,12.02,,Synthetic Mud
1,07-11-17,2959,2914.04,12.18,,Synthetic Mud
1,07-12-17,3063,3011.41,12.18,,Synthetic Mud
1,7/13/2017,3063,3011.41,12.18,,Synthetic Mud
1,7/14/2017,3063,3011.41,12.18,,Synthetic Mud
1,7/15/2017,3106,3050.04,9.51,,Brine
1,7/16/2017,3333,3223.06,9.51,,Brine
1,7/17/2017,3338,3226.15,9.51,,Brine
1,7/18/2017,3461,3290.61,9.51,,Brine
1,7/19/2017,3467,3292.75,9.51,,Brine
1,7/20/2017,3635,3324.54,9.68,,Brine
1,7/21/2017,3708,3330.24,9.76,,Brine
1,7/22/2017,3827,3338.27,9.68,,Brine
1,7/23/2017,3893,3345.1,9.76,,Brine
1,7/24/2017,4015,3355.2,9.68,,Brine
1,7/25/2017,4208,3365.95,9.76,,Brine
1,7/26/2017,4208,3365.95,9.76,,Brine
1,7/27/2017,4343,3378.37,9.68,,Brine
1,7/28/2017,4438,3385.83,9.76,,Brine
1,7/29/2017,4489,3388.43,9.68,,Brine
1,7/30/2017,4592,3392.73,9.26,,Brine
1,7/31/2017,4713,3402.75,9.01,,Brine
1,08-01-17,4882,3418.79,8.6,,Brine
1,08-02-17,5071,3443.38,8.6,,Brine
1,08-03-17,5071,3443.38,8.6,,Brine
1,08-04-17,5240,3466.07,8.6,,Brine
1,08-05-17,5326,3473.45,8.6,,Brine
1,08-06-17,5351,3476.12,8.6,,Brine
1,08-07-17,5580,3493.83,8.6,,Brine
1,08-08-17,5780,3504.86,8.6,,Brine
1,08-09-17,5831,3507.27,8.6,,Brine
1,08-10-17,5851,3508.29,8.6,,Brine
1,08-11-17,5874,3509.53,8.6,,Brine
1,08-12-17,5878,3509.75,8.6,,Brine
1,8/13/2017,5942,3514.67,8.6,,Brine
1,8/14/2017,6145,3544.4,8.6,,Brine
1,8/15/2017,6183,3551.93,8.6,,Brine
1,8/16/2017,6183,3551.93,8.6,,Brine
1,8/17/2017,6183,3551.93,8.6,,Brine
1,8/18/2017,6229,3561.2,8.6,,Brine
1,8/19/2017,6280,3573.44,8.6,,Brine
1,8/20/2017,6280,3573.44,8.6,,Brine
1,8/21/2017,6280,3573.44,8.6,,Brine
1,8/22/2017,6280,3573.44,8.6,,Brine
1,8/23/2017,6280,3573.44,8.6,,Brine
1,8/24/2017,6280,3573.44,8.6,,Brine
1,8/25/2017,6280,3573.44,8.6,,Brine
1,8/26/2017,6280,3573.44,8.6,,Brine
1,8/27/2017,6280,3573.44,9.01,,Brine
1,8/28/2017,6280,3573.44,9.01,,Brine
1,8/29/2017,6280,3573.44,9.01,,Brine
1,8/30/2017,6280,3573.44,9.01,,Brine
1,8/31/2017,6280,3573.44,9.01,,Brine
1,09-01-17,6280,3573.44,9.01,,Brine
1,09-02-17,6280,3573.44,9.01,,Brine
1,09-03-17,6280,3573.44,9.01,,Brine
