Date,MeasuredDepth,MudWeight
6/16/2017,85,
6/17/2017,176,8.76
6/18/2017,290,9.1
6/19/2017,677,9.6
6/20/2017,988,9.51
6/21/2017,1200,9.6
6/22/2017,1200,9.6
6/23/2017,1200,9.6
6/24/2017,1200,9.6
6/25/2017,1200,10.6
6/26/2017,1223,10.52
6/27/2017,1717,10.6
6/28/2017,1774,10.52
6/29/2017,1805,10.6
6/30/2017,2121,10.77
7/1/2017,2379,11.02
7/2/2017,2602,11.02
7/3/2017,2720,11.02
7/4/2017,2720,11.02
7/5/2017,2720,11.02
7/6/2017,2720,11.27
7/7/2017,2720,11.18
7/8/2017,2750,12.18
7/9/2017,2750,12.1
7/10/2017,2750,12.02
7/11/2017,2959,12.18
7/12/2017,3063,12.18
7/13/2017,3063,12.18
7/14/2017,3063,12.18
7/15/2017,3106,9.51
7/16/2017,3333,9.51
7/17/2017,3338,9.51
7/18/2017,3461,9.51
7/19/2017,3467,9.51
7/20/2017,3635,9.68
7/21/2017,3708,9.76
7/22/2017,3827,9.68
7/23/2017,3893,9.76
7/24/2017,4015,9.68
7/25/2017,4208,9.76
7/26/2017,4208,9.76
7/27/2017,4343,9.68
7/28/2017,4438,9.76
7/29/2017,4489,9.68
7/30/2017,4592,9.26
7/31/2017,4713,9.01
8/1/2017,4882,8.6
8/2/2017,5071,8.6
8/3/2017,5071,8.6
8/4/2017,5240,8.6
8/5/2017,5326,8.6
8/6/2017,5351,8.6
8/7/2017,5580,8.6
8/8/2017,5780,8.6
8/9/2017,5831,8.6
8/10/2017,5851,8.6
8/11/2017,5874,8.6
8/12/2017,5878,8.6
8/13/2017,5942,8.6
8/14/2017,6145,8.6
8/15/2017,6183,8.6
8/16/2017,6183,8.6
8/17/2017,6183,8.6
8/18/2017,6229,8.6
8/19/2017,6280,8.6
8/20/2017,6280,8.6
8/21/2017,6280,8.6
8/22/2017,6280,8.6
8/23/2017,6280,8.6
8/24/2017,6280,8.6
8/25/2017,6280,8.6
8/26/2017,6280,8.6
8/27/2017,6280,9.01
8/28/2017,6280,9.01
8/29/2017,6280,9.01
8/30/2017,6280,9.01
8/31/2017,6280,9.01
9/1/2017,6280,9.01
9/2/2017,6280,9.01
9/3/2017,6280,9.01
