Date,MeasuredDepth,MudWeight
6/23/2017,1200,9.6
7/5/2017,2720,11.02
7/9/2017,2750,12.1
7/10/2017,2750,12.02
7/14/2017,3063,12.18
7/19/2017,3467,9.51
7/27/2017,4299,9.68
7/28/2017,4406,9.76
7/28/2017,4416,9.76
7/28/2017,4425,9.76
7/29/2017,4438,9.68
7/29/2017,4466,9.68
7/29/2017,4473,9.68
7/29/2017,4477,9.68
7/29/2017,4488,9.68
7/30/2017,4489,9.26
7/30/2017,4497,9.26
7/30/2017,4510,9.26
7/30/2017,4592,9.26
7/31/2017,4592,9.01
8/1/2017,4882,8.6
8/2/2017,5071,8.6
8/3/2017,5071,8.6
8/4/2017,5071,8.6
8/5/2017,5326,8.6
8/6/2017,5326,8.6
8/7/2017,5351,8.6
8/8/2017,5580,8.6
8/9/2017,5831,8.6
8/10/2017,5838,8.6
8/11/2017,5874,8.6
8/12/2017,5878,8.6
8/13/2017,5878,8.6
8/14/2017,5942,8.6
8/15/2017,6183,8.6
8/16/2017,6183,8.6
8/17/2017,6183,8.6
8/18/2017,6191,8.6
8/19/2017,6280,8.6
8/20/2017,6280,8.6
8/21/2017,6280,8.6
8/22/2017,6280,8.6
8/23/2017,6280,8.6
8/24/2017,6280,8.6
8/25/2017,6280,8.6
8/26/2017,6280,8.6
8/25/2017,6280,8.6
8/26/2017,6280,8.6
