Date,MeasuredDepth,MudWeight
6/26/2017,1233,10.52
6/27/2017,1717,10.6
6/28/2017,1774,10.52
7/1/2017,2154,11.02
7/1/2017,1895,11.02
7/1/2017,2319,11.02
7/10/2017,2609,12.02
7/18/2017,3254,9.51
7/22/2017,3663,9.68
7/24/2017,3838,9.68
8/1/2017,4734,8.6
8/1/2017,4767,8.6
8/1/2017,4824,8.6
8/1/2017,4853,8.6
8/1/2017,4882,8.6
8/2/2017,4911,8.6
8/3/2017,4735,8.6
8/3/2017,4708,8.6
8/4/2017,4680,8.6
8/4/2017,4740,8.6
8/4/2017,4839,8.6
8/4/2017,4953,8.6
8/5/2017,4750,8.6
8/6/2017,4907,8.6
8/10/2017,5835,8.6
8/12/2017,5878,8.6
8/13/2017,5829,8.6
8/13/2017,5865,8.6
8/17/2017,5903,8.6
