Date,MeasuredDepth,MudWeight
6/22/2017,625,9.6
6/29/2017,1439,10.6
6/29/2017,1595,10.6
6/29/2017,1600,10.6
6/29/2017,1684,10.6
7/1/2017,2178,11.02
7/1/2017,2205,11.02
7/1/2017,2234,11.02
7/1/2017,2261,11.02
7/1/2017,2290,11.02
7/1/2017,2319,11.02
7/1/2017,1920,11.02
7/12/2017,3023,12.18
7/12/2017,3023,12.18
7/12/2017,2893,12.18
8/1/2017,4759,8.6
8/1/2017,4853,8.6
8/1/2017,4882,8.6
8/2/2017,4911,8.6
8/3/2017,4777,8.6
8/3/2017,4755,8.6
8/3/2017,4735,8.6
8/3/2017,4777,8.6
8/3/2017,4755,8.6
8/3/2017,4735,8.6
8/5/2017,4750,8.6
8/10/2017,5829,8.6
8/12/2017,5809,8.6
8/12/2017,5829,8.6
8/12/2017,5829,8.6
8/14/2017,4572,8.6
8/14/2017,4611,8.6
8/14/2017,4696,8.6
8/17/2017,5829,8.6
8/17/2017,5829,8.6
8/18/2017,4835,8.6
8/18/2017,4612,8.6
